round,accuracy,mean_loss,mean_split,sigma_mean,client0_split,client1_split,client2_split,client3_split,client4_split
1,46.73,2.007869100125631,6.0,0.5,6.0,6.0,6.0,6.0,6.0
2,63.58,1.414999197260539,6.0,0.5,6.0,6.0,6.0,6.0,6.0
3,68.03,1.088388137213389,6.0,0.5,6.0,6.0,6.0,6.0,6.0
4,72.3,0.9433834617932637,6.0,0.5,6.0,6.0,6.0,6.0,6.0
5,74.25,0.8666643745104473,6.0,0.5,6.0,6.0,6.0,6.0,6.0
6,75.55,0.8147749083518981,6.0,0.5,6.0,6.0,6.0,6.0,6.0
7,77.04,0.7690776607513428,6.0,0.5,6.0,6.0,6.0,6.0,6.0
8,78.24,0.732505773639679,6.0,0.5,6.0,6.0,6.0,6.0,6.0
9,79.38,0.7007248879114787,6.0,0.5,6.0,6.0,6.0,6.0,6.0
10,80.09,0.6726376039505004,6.0,0.5,6.0,6.0,6.0,6.0,6.0
11,81.1,0.6418761211077373,6.0,0.5,6.0,6.0,6.0,6.0,6.0
12,81.78,0.620167003440857,6.0,0.5,6.0,6.0,6.0,6.0,6.0
13,82.64,0.6001838960647584,6.0,0.5,6.0,6.0,6.0,6.0,6.0
14,83.52,0.5781145325978597,6.0,0.5,6.0,6.0,6.0,6.0,6.0
15,83.36,0.5590825675646464,6.0,0.5,6.0,6.0,6.0,6.0,6.0
16,83.97,0.5459126533985138,6.0,0.5,6.0,6.0,6.0,6.0,6.0
17,85.04,0.5292335048516591,6.0,0.5,6.0,6.0,6.0,6.0,6.0
18,85.0,0.5187961660703023,6.0,0.5,6.0,6.0,6.0,6.0,6.0
19,85.48,0.5000463964621227,6.0,0.5,6.0,6.0,6.0,6.0,6.0
20,85.43,0.4934276869297028,6.0,0.5,6.0,6.0,6.0,6.0,6.0
21,86.13,0.4784942856788635,6.0,0.5,6.0,6.0,6.0,6.0,6.0
22,86.53,0.4680808269182841,6.0,0.5,6.0,6.0,6.0,6.0,6.0
23,86.24,0.4577788179238637,6.0,0.5,6.0,6.0,6.0,6.0,6.0
24,86.81,0.4499965185324351,6.0,0.5,6.0,6.0,6.0,6.0,6.0
25,86.66,0.44472497431437175,6.0,0.5,6.0,6.0,6.0,6.0,6.0
