round,accuracy,mean_loss,mean_split,sigma_mean,client0_split,client1_split,client2_split,client3_split,client4_split
1,41.31,1.980362320327759,6.0,0.5,6.0,6.0,6.0,6.0,6.0
2,61.77,1.296184651374817,6.0,0.5,6.0,6.0,6.0,6.0,6.0
3,69.08,1.0748785047849019,6.0,0.5,6.0,6.0,6.0,6.0,6.0
4,72.17,0.951036828994751,6.0,0.5,6.0,6.0,6.0,6.0,6.0
5,74.19,0.8577973400115967,6.0,0.5,6.0,6.0,6.0,6.0,6.0
6,75.86,0.80956183608373,6.0,0.5,6.0,6.0,6.0,6.0,6.0
7,76.79,0.7649257868131002,6.0,0.5,6.0,6.0,6.0,6.0,6.0
8,77.49,0.7364387437502543,6.0,0.5,6.0,6.0,6.0,6.0,6.0
9,78.58,0.7034765781879425,6.0,0.5,6.0,6.0,6.0,6.0,6.0
10,78.87,0.6791995855649312,6.0,0.5,6.0,6.0,6.0,6.0,6.0
11,79.05,0.6514363587220509,6.0,0.5,6.0,6.0,6.0,6.0,6.0
12,81.01,0.6321073557694753,6.0,0.5,6.0,6.0,6.0,6.0,6.0
13,81.34,0.6062594501495361,6.0,0.5,6.0,6.0,6.0,6.0,6.0
14,82.14,0.5853666268030802,6.0,0.5,6.0,6.0,6.0,6.0,6.0
15,82.3,0.5676873272101084,6.0,0.5,6.0,6.0,6.0,6.0,6.0
16,82.94,0.5507035212357839,6.0,0.5,6.0,6.0,6.0,6.0,6.0
17,83.44,0.5343176489035288,6.0,0.5,6.0,6.0,6.0,6.0,6.0
18,83.86,0.5186586236159008,6.0,0.5,6.0,6.0,6.0,6.0,6.0
19,84.04,0.5101342146396637,6.0,0.5,6.0,6.0,6.0,6.0,6.0
20,84.48,0.5011320448954899,6.0,0.5,6.0,6.0,6.0,6.0,6.0
21,84.89,0.4876513376553853,6.0,0.5,6.0,6.0,6.0,6.0,6.0
22,84.95,0.4751956346670787,6.0,0.5,6.0,6.0,6.0,6.0,6.0
23,85.19,0.46775245817502337,6.0,0.5,6.0,6.0,6.0,6.0,6.0
24,85.51,0.45604213914871217,6.0,0.5,6.0,6.0,6.0,6.0,6.0
25,86.07,0.44968539966742205,6.0,0.5,6.0,6.0,6.0,6.0,6.0
