round,accuracy,mean_loss,mean_split,sigma_mean,client0_split,client1_split,client2_split,client3_split,client4_split
1,43.32,1.919922931289673,5.8,0.3,2.0,2.0,5.0,10.0,10.0
2,61.86,1.341244407335917,5.8,0.291,2.0,2.0,5.0,10.0,10.0
3,68.6,1.1100138269106545,5.8,0.28226999999999997,2.0,2.0,5.0,10.0,10.0
4,69.86,0.973735577138265,5.8,0.27380189999999993,2.0,2.0,5.0,10.0,10.0
5,73.16,0.8803483201980591,5.8,0.26558784299999993,2.0,2.0,5.0,10.0,10.0
6,74.97,0.8225861651102703,5.8,0.25762020770999994,2.0,2.0,5.0,10.0,10.0
7,76.61,0.769968852074941,5.8,0.24989160147869996,2.0,2.0,5.0,10.0,10.0
8,76.79,0.7356199513117472,5.8,0.24239485343433892,2.0,2.0,5.0,10.0,10.0
9,78.08,0.7049400655428568,5.8,0.23512300783130874,2.0,2.0,5.0,10.0,10.0
10,77.82,0.67671648255984,5.8,0.22806931759636945,2.0,2.0,5.0,10.0,10.0
11,79.43,0.6521847035725912,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
12,80.28,0.6297677837689718,5.8,0.21459042092642405,2.0,2.0,5.0,10.0,10.0
13,81.11,0.6082136808395386,5.8,0.21459042092642405,2.0,2.0,5.0,10.0,10.0
14,82.08,0.58954461201032,5.8,0.21459042092642405,2.0,2.0,5.0,10.0,10.0
15,82.44,0.5737653168519338,5.8,0.21459042092642405,2.0,2.0,5.0,10.0,10.0
16,83.11,0.5574723902861276,5.8,0.21459042092642405,2.0,2.0,5.0,10.0,10.0
17,83.51,0.5399435902754466,5.8,0.21459042092642405,2.0,2.0,5.0,10.0,10.0
18,83.32,0.530014018535614,5.8,0.21459042092642405,2.0,2.0,5.0,10.0,10.0
19,83.89,0.5190971086819968,5.8,0.21459042092642405,2.0,2.0,5.0,10.0,10.0
20,84.62,0.5014889765580495,5.8,0.21459042092642405,2.0,2.0,5.0,10.0,10.0
21,85.08,0.4862900742371877,5.8,0.21459042092642405,2.0,2.0,5.0,10.0,10.0
22,85.17,0.4842914648532868,5.8,0.21459042092642405,2.0,2.0,5.0,10.0,10.0
23,85.44,0.4696754570802053,5.8,0.21459042092642405,2.0,2.0,5.0,10.0,10.0
24,85.63,0.4585136621316274,5.8,0.21459042092642405,2.0,2.0,5.0,10.0,10.0
25,85.71,0.4543250034968058,5.8,0.21459042092642405,2.0,2.0,5.0,10.0,10.0
