round,accuracy,mean_loss,mean_split,sigma_mean,client0_split,client1_split,client2_split,client3_split,client4_split
1,42.93,1.9168208168029786,5.8,0.3,2.0,2.0,5.0,10.0,10.0
2,60.27,1.3127986750920613,5.8,0.291,2.0,2.0,5.0,10.0,10.0
3,67.7,1.0800876432100932,5.8,0.28226999999999997,2.0,2.0,5.0,10.0,10.0
4,72.12,0.933904902235667,5.8,0.27380189999999993,2.0,2.0,5.0,10.0,10.0
5,73.62,0.865628408241272,5.8,0.26558784299999993,2.0,2.0,5.0,10.0,10.0
6,75.68,0.7970356421152751,5.8,0.25762020770999994,2.0,2.0,5.0,10.0,10.0
7,76.53,0.7596502560615539,5.8,0.24989160147869996,2.0,2.0,5.0,10.0,10.0
8,77.26,0.732346038166682,5.8,0.24239485343433892,2.0,2.0,5.0,10.0,10.0
9,78.74,0.6916349237918853,5.8,0.23512300783130874,2.0,2.0,5.0,10.0,10.0
10,79.17,0.6696923652966816,5.8,0.22806931759636945,2.0,2.0,5.0,10.0,10.0
11,80.01,0.6480021651268004,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
12,80.95,0.6201248619874319,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
13,81.2,0.5995862179279328,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
14,81.71,0.5819090533097585,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
15,82.81,0.5604184897104899,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
16,83.24,0.5471101641019185,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
17,83.66,0.5340246267159781,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
18,83.79,0.5227216258207956,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
19,84.21,0.5087362875938415,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
20,84.35,0.4953026940902075,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
21,84.62,0.48934859793980917,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
22,84.94,0.47592388029098515,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
23,85.2,0.47241335064570106,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
24,85.36,0.45840201238791145,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
25,85.14,0.4499170346498489,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
