round,accuracy,mean_loss,mean_split,sigma_mean
1,74.22,1.1120694600741068,nan,0.0
2,75.71,0.6742792488416036,nan,0.0
3,79.94,0.5518397178490957,nan,0.0
4,84.48,0.47410758425394695,nan,0.0
5,86.03,0.41858501768112183,nan,0.0
6,86.54,0.38275550317764284,nan,0.0
7,87.7,0.3590286305030187,nan,0.0
8,88.22,0.33472713907559715,nan,0.0
9,88.8,0.32012704906463624,nan,0.0
10,89.49,0.30238568829695384,nan,0.0
11,88.49,0.2920053520202637,nan,0.0
12,88.77,0.27835810996691385,nan,0.0
13,89.84,0.27298601365089414,nan,0.0
14,90.18,0.26352916543483734,nan,0.0
15,90.13,0.2525949390331904,nan,0.0
16,90.57,0.24477642141977946,nan,0.0
17,89.53,0.23459086480935415,nan,0.0
18,89.29,0.22972368484338124,nan,0.0
19,90.73,0.2199474714756012,nan,0.0
20,90.99,0.21852803943951923,nan,0.0
21,90.54,0.20869944994449616,nan,0.0
22,90.52,0.20792253522078197,nan,0.0
23,91.59,0.200132221865654,nan,0.0
24,90.76,0.19434870632092158,nan,0.0
25,90.56,0.19458647243976593,nan,0.0
