round,accuracy,mean_loss,mean_split,sigma_mean
1,71.27,1.164321214167277,nan,0.0
2,79.29,0.6891116950352987,nan,0.0
3,83.1,0.551635286283493,nan,0.0
4,82.95,0.47611949586868285,nan,0.0
5,85.86,0.42315584084192914,nan,0.0
6,86.48,0.38838869841893514,nan,0.0
7,86.97,0.36157202383677167,nan,0.0
8,87.99,0.3432430380503337,nan,0.0
9,88.24,0.3245830374240875,nan,0.0
10,87.3,0.3107591587861379,nan,0.0
11,89.26,0.2984797831217448,nan,0.0
12,88.88,0.28653181451956433,nan,0.0
13,88.12,0.27526242259343464,nan,0.0
14,89.54,0.26809886385599774,nan,0.0
15,89.74,0.25524215518633525,nan,0.0
16,90.77,0.2518927956899007,nan,0.0
17,90.84,0.241044007786115,nan,0.0
18,90.78,0.23681461800734202,nan,0.0
19,90.26,0.231190150252978,nan,0.0
20,91.27,0.2220917648156484,nan,0.0
21,90.87,0.21386037917137146,nan,0.0
22,91.14,0.2166252962430318,nan,0.0
23,91.01,0.20987122730414073,nan,0.0
24,91.14,0.19852630688349407,nan,0.0
25,90.76,0.1961186710993449,nan,0.0
