round,accuracy,mean_loss,mean_split,sigma_mean,client0_split,client1_split,client2_split,client3_split,client4_split
1,52.05,1.74072906627655,17.0,0.0,17.0,17.0,17.0,17.0,17.0
2,66.14,1.1934559628168744,17.0,0.0,17.0,17.0,17.0,17.0,17.0
3,71.08,0.972149852879842,17.0,0.0,17.0,17.0,17.0,17.0,17.0
4,73.94,0.8601109624544779,17.0,0.0,17.0,17.0,17.0,17.0,17.0
5,75.65,0.7980992200533549,17.0,0.0,17.0,17.0,17.0,17.0,17.0
6,76.6,0.7427039900461833,17.0,0.0,17.0,17.0,17.0,17.0,17.0
7,78.24,0.7052299081484477,17.0,0.0,17.0,17.0,17.0,17.0,17.0
8,79.0,0.6766450456937154,17.0,0.0,17.0,17.0,17.0,17.0,17.0
9,79.84,0.6400823466142018,17.0,0.0,17.0,17.0,17.0,17.0,17.0
10,80.99,0.6124798792997996,17.0,0.0,17.0,17.0,17.0,17.0,17.0
11,81.92,0.5894060545762381,17.0,0.0,17.0,17.0,17.0,17.0,17.0
12,82.26,0.562001232735316,17.0,0.0,17.0,17.0,17.0,17.0,17.0
13,83.66,0.5434741089185078,17.0,0.0,17.0,17.0,17.0,17.0,17.0
14,84.38,0.5157737575451533,17.0,0.0,17.0,17.0,17.0,17.0,17.0
15,84.48,0.502424399248759,17.0,0.0,17.0,17.0,17.0,17.0,17.0
16,84.89,0.4859223620891571,17.0,0.0,17.0,17.0,17.0,17.0,17.0
17,85.29,0.47284756520589194,17.0,0.0,17.0,17.0,17.0,17.0,17.0
18,85.81,0.4573818518400192,17.0,0.0,17.0,17.0,17.0,17.0,17.0
19,86.17,0.4450192249457041,17.0,0.0,17.0,17.0,17.0,17.0,17.0
20,86.45,0.4322417734146119,17.0,0.0,17.0,17.0,17.0,17.0,17.0
21,86.53,0.4278150892019272,17.0,0.0,17.0,17.0,17.0,17.0,17.0
22,87.13,0.4199808297475179,17.0,0.0,17.0,17.0,17.0,17.0,17.0
23,86.9,0.4074589458465576,17.0,0.0,17.0,17.0,17.0,17.0,17.0
24,87.24,0.3989940187295278,17.0,0.0,17.0,17.0,17.0,17.0,17.0
25,87.55,0.3959346120119095,17.0,0.0,17.0,17.0,17.0,17.0,17.0
